pair_id,problem_id,problem_unchanged,prefix_unchanged,single_local_edit,reference_continuation_available,control_replacement_restores_path,downstream_information_preserved,structurally_recoverable,notes
pair_math500_039,math500_039,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_040,math500_040,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_041,math500_041,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_042,math500_042,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_043,math500_043,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_044,math500_044,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_045,math500_045,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_046,math500_046,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_047,math500_047,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_048,math500_048,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_049,math500_049,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_050,math500_050,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_051,math500_051,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_052,math500_052,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_055,math500_055,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_056,math500_056,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_057,math500_057,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_058,math500_058,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_059,math500_059,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_060,math500_060,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_061,math500_061,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_062,math500_062,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_063,math500_063,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_064,math500_064,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_065,math500_065,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_066,math500_066,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_067,math500_067,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_068,math500_068,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_069,math500_069,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_070,math500_070,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_071,math500_071,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_072,math500_072,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_073,math500_073,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_074,math500_074,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_075,math500_075,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_076,math500_076,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_077,math500_077,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_078,math500_078,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_079,math500_079,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_081,math500_081,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_082,math500_082,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_083,math500_083,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_084,math500_084,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_085,math500_085,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_086,math500_086,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_088,math500_088,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_089,math500_089,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_090,math500_090,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_091,math500_091,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_092,math500_092,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_093,math500_093,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_094,math500_094,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_095,math500_095,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_096,math500_096,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_097,math500_097,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_098,math500_098,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_099,math500_099,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_100,math500_100,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_101,math500_101,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_102,math500_102,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_103,math500_103,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_104,math500_104,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_105,math500_105,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_106,math500_106,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_107,math500_107,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_108,math500_108,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_109,math500_109,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_111,math500_111,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_112,math500_112,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_113,math500_113,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_114,math500_114,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_116,math500_116,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_117,math500_117,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_118,math500_118,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_119,math500_119,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_120,math500_120,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_121,math500_121,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_124,math500_124,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_125,math500_125,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_126,math500_126,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_127,math500_127,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_128,math500_128,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_129,math500_129,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_130,math500_130,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_131,math500_131,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_132,math500_132,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_133,math500_133,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_134,math500_134,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_135,math500_135,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_136,math500_136,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_137,math500_137,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_138,math500_138,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_139,math500_139,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_140,math500_140,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_141,math500_141,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_142,math500_142,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_143,math500_143,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_144,math500_144,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_145,math500_145,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_146,math500_146,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_147,math500_147,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_148,math500_148,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_149,math500_149,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_150,math500_150,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_151,math500_151,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_152,math500_152,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_153,math500_153,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_154,math500_154,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_156,math500_156,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_157,math500_157,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_158,math500_158,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_159,math500_159,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_160,math500_160,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_161,math500_161,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_162,math500_162,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_163,math500_163,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_164,math500_164,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_165,math500_165,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_166,math500_166,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_167,math500_167,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_168,math500_168,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_169,math500_169,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_170,math500_170,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_171,math500_171,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_172,math500_172,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_173,math500_173,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_174,math500_174,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_175,math500_175,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_176,math500_176,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_177,math500_177,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_178,math500_178,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_179,math500_179,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_180,math500_180,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_181,math500_181,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_182,math500_182,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_184,math500_184,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_185,math500_185,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_186,math500_186,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_187,math500_187,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_188,math500_188,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_189,math500_189,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_190,math500_190,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_191,math500_191,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_192,math500_192,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_194,math500_194,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_195,math500_195,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_197,math500_197,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_198,math500_198,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_199,math500_199,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_200,math500_200,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_201,math500_201,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_202,math500_202,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_203,math500_203,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_204,math500_204,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_205,math500_205,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_206,math500_206,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_207,math500_207,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_208,math500_208,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_209,math500_209,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_210,math500_210,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_211,math500_211,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_212,math500_212,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_213,math500_213,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_214,math500_214,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_215,math500_215,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_216,math500_216,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_217,math500_217,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_218,math500_218,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_219,math500_219,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_220,math500_220,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_221,math500_221,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_222,math500_222,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_223,math500_223,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_224,math500_224,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_225,math500_225,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_228,math500_228,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_229,math500_229,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_230,math500_230,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_231,math500_231,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_232,math500_232,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_233,math500_233,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_234,math500_234,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_235,math500_235,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_236,math500_236,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_237,math500_237,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_238,math500_238,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_239,math500_239,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_240,math500_240,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_241,math500_241,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_242,math500_242,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_243,math500_243,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_244,math500_244,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_245,math500_245,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_246,math500_246,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_247,math500_247,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_248,math500_248,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_249,math500_249,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_250,math500_250,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_251,math500_251,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_252,math500_252,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_253,math500_253,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_254,math500_254,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_255,math500_255,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_256,math500_256,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_257,math500_257,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_258,math500_258,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_259,math500_259,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_260,math500_260,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_261,math500_261,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_262,math500_262,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_263,math500_263,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_264,math500_264,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_265,math500_265,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_266,math500_266,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_267,math500_267,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_269,math500_269,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_270,math500_270,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_271,math500_271,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_272,math500_272,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_274,math500_274,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_275,math500_275,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_276,math500_276,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_277,math500_277,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_278,math500_278,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_279,math500_279,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_280,math500_280,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
