source_dataset,source_revision,source_split,source_item_id,source_problem_sha256,source_solution_sha256,license_dataset,license_repo,domain
GSM8K,git_commit_e4b85c1,train,gsm8k_train_0010,d34b8ebed59443fcffbf869388c2f1752149340858f4235bc21f46b0e8e421d5,25123fceb91bab3d887f58df443cd9cbbf8d27e08939c771328d156c4cd7c57c,MIT,MIT,mathematical_reasoning
GSM8K,git_commit_e4b85c1,train,gsm8k_train_0011,11253fd3865d38f328ff75ead2e8792875635943eb61d766d0227ac3d53218d9,b5f75192e00703dffb4476d6e50cf7098b00bec8580dbc88b0a7b216600b0969,MIT,MIT,mathematical_reasoning
GSM8K,git_commit_e4b85c1,train,gsm8k_train_0012,6efe650fe8247d5524905a60249e4bda3710e22e5da8cb60550eb9080a133453,bff8b3364b016020262e071d12ac66bbb420fb84263678a38deb260ae60f2a01,MIT,MIT,mathematical_reasoning
GSM8K,git_commit_e4b85c1,train,gsm8k_train_0013,b8f3cf5136a2bb6bbcd8102c9697528dfb63c174843d41e228206000780a46ff,1fb92fd0a7e9dbcdb0f370f70235b09afc31fc91a6eff3c8202920f54eba7781,MIT,MIT,mathematical_reasoning
GSM8K,git_commit_e4b85c1,train,gsm8k_train_0014,44b83356cf6d2339d799a95620b5c1fddea9e095df44a1951153a694d2cbff3b,c00732c3a33132c4e04111b201edab579514198d0ef0517b2315d2709250feaa,MIT,MIT,mathematical_reasoning
MBPP,google_research_mbpp_v1,train (task_ids 601-974),mbpp_task_601,f2feb425e538dacb68dd774ad52c4e9cd0f135e216066e58040bd29841f02cdb,bb21d52254bfffe60c89937e7e31ff20db7b38b1f87bcb105638d0ddfaf99bcc,CC-BY-4.0,Apache-2.0,programmatic_reasoning
MBPP,google_research_mbpp_v1,train (task_ids 601-974),mbpp_task_602,87a2c9186c8b79dcf57275b4e8fa101af18cc1b47affa9e9de5e7f6b6bf2f6ae,65af62d339cf7ac73960d1e1e305e0f6866a346f56a14b4c75bedf7fc3db6062,CC-BY-4.0,Apache-2.0,programmatic_reasoning
MBPP,google_research_mbpp_v1,train (task_ids 601-974),mbpp_task_603,6f8a13d202e9871a721eeb9ce6d8c07ce69bf2dfb006092dc8a747c03dbf6b0e,1c4868d477b9b21ea9b934d7b47e7f68d27e3fcff7f74bc82069dc0aa15c5ac7,CC-BY-4.0,Apache-2.0,programmatic_reasoning
MBPP,google_research_mbpp_v1,train (task_ids 601-974),mbpp_task_604,52b4d55bd5f1788ad894355246e07810f28158b16ef89cf41afabcc7ceaac0b7,1ebfbdaa0beb9b1a8e5f606f6091cb425d34cad3e7b76926f69b742c0ac6285e,CC-BY-4.0,Apache-2.0,programmatic_reasoning
MBPP,google_research_mbpp_v1,train (task_ids 601-974),mbpp_task_605,03167b4744897b5a0178ede1ba64c4962cc9142ae8539082d182de9db9e30a98,5a79c914b7d3641dabddc2996cc335a55a5998ed3c250d9b5c08871e6b164c63,CC-BY-4.0,Apache-2.0,programmatic_reasoning
MBPP,google_research_mbpp_v1,train (task_ids 601-974),mbpp_task_606,a54e93b5c33e65115f05133ce82be0f0e9369852f61bedfb44ec9b812aca3080,a3c15a9af4510166855dea70ce0350aa74e625f46479b510c7a4436a77ee3087,CC-BY-4.0,Apache-2.0,programmatic_reasoning
MBPP,google_research_mbpp_v1,train (task_ids 601-974),mbpp_task_607,95b7514661c9f990644af239512a4f713358320ee9b2ec8521577a95a33267e6,3df43b5091d3b63061833d7aad17df472528b3388e8822db01eb50f11965acc9,CC-BY-4.0,Apache-2.0,programmatic_reasoning
MBPP,google_research_mbpp_v1,train (task_ids 601-974),mbpp_task_608,e3b616a11998bea8e01111523ac4522b99753ad79bbfdfd1dc85e847cf398f59,4fd4aeb13d914b32156a10f0a888377a98a8ff1c95c6c1e78744e544930f9ff7,CC-BY-4.0,Apache-2.0,programmatic_reasoning
MBPP,google_research_mbpp_v1,train (task_ids 601-974),mbpp_task_609,cf1de07b9695726d107712ef1e2da73fa30112faabd17867510bf5f1c448baff,d9fc84a25188a4a186d5d0f2da71931525489b702c70fbba11a6e2e90b65eb9b,CC-BY-4.0,Apache-2.0,programmatic_reasoning
MBPP,google_research_mbpp_v1,train (task_ids 601-974),mbpp_task_610,ac6c3190f8a6d5fb8d11fb786025bfb96dbad519e8a0d4959a3a6b7b1c470b50,643404c0568e6d796bad98b67a69d8938099736abd24e1ffa780616553a659f5,CC-BY-4.0,Apache-2.0,programmatic_reasoning
MBPP,google_research_mbpp_v1,train (task_ids 601-974),mbpp_task_611,f1cd5e0d407b18a455ae53bdc69ea55dea95c9375dc385ea74c89c4fcf2533ab,2b1ad43612046477cdf50af5bd075d6ca354c578a8ddc7848d4a63c10aef0728,CC-BY-4.0,Apache-2.0,programmatic_reasoning
MBPP,google_research_mbpp_v1,train (task_ids 601-974),mbpp_task_612,ae271d01970eda5ab699100267ff601ed3ecd0971d08bf298042cc01cd193a8e,5592757bbe1118a6f8571d53345f89916dff65d2520aaedb4ebad4c8470fe2c4,CC-BY-4.0,Apache-2.0,programmatic_reasoning
MBPP,google_research_mbpp_v1,train (task_ids 601-974),mbpp_task_613,11bf7cc84a9e2376064b9707390f98da07514bc78c49133413d847ad51424d2f,436e529020829f95826e3f812531632556471ae2ee6f64c3685bde69cfd6672c,CC-BY-4.0,Apache-2.0,programmatic_reasoning
MBPP,google_research_mbpp_v1,train (task_ids 601-974),mbpp_task_614,5b05db5c0c91f41fc5b581feec022dda92d24f4c8a4eb2bb0818c2c18e58ef43,f36afb3ebf957045bc02f43117bc7939fa54407b57b4b2dfbee0a64a9e183156,CC-BY-4.0,Apache-2.0,programmatic_reasoning
MBPP,google_research_mbpp_v1,train (task_ids 601-974),mbpp_task_615,5ae7eaeca57e0332958393359cd076747ed05027c77df728887746abebccb702,a6d092ca34107b7294fdb1cade6d0c44f4f239033fe014815de38576f4bca739,CC-BY-4.0,Apache-2.0,programmatic_reasoning
