pair_id,problem_id,operator,control_assertion_sha256,recovery_assertion_sha256,assertions_differ,operator_effect_verified,control_valid,recovery_invalid,context_invariant,target_is_math_reasoning,final_status,failure_reason
pair_math500_012,math500_012,OP_CONSTANT_PERTURB,3781a18ed111675d8af810a429540971151ff1426a42d20166ce2ae1dc0bf6b4,d02adcb495fb4bfa225613ba0c9cc7cccbe1126ad0f58e66c1afd93051a823a6,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_013,math500_013,OP_TERM_SWAP,ecb739a2288b33eb3e7c55f6b86505156b0335538040392d33bbfce2fb4c6651,13a237ce77bb65235282c58ac2fb511387c248fd641b4380b65280b082b6b431,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_014,math500_014,OP_FRACTION_FLIP,9df38022a6800a5afc590bfb6a8310c80783a589242ab4376b110f357ad63565,c531104b9d00f20081561ae3d23512f9b01b31b04641b969967d4139d9da6398,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_015,math500_015,OP_CONSTANT_PERTURB,f0b6b9351704b2df47ccc662051d2e67ab2c6b2073b43975f8388ae6b7edb4ed,656247ac7ef4ca293fb7284e290b1ba016292dbcecb8a317b73179dd540a0ed6,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_016,math500_016,OP_CONSTANT_PERTURB,a453082fb01baebd20b2be6a2f94ec3a0bf9021cdcf9a708348a20f01732c7d9,0a64a61efee528b743a85b7505f7aa1c049d4b138bf679bfc4d93256c4a444bc,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_018,math500_018,OP_TERM_SWAP,219c388ee908672ce5c753532771d2bda711194126d1d4c20e02d2fa69c7decf,86af9831a593e7bac8bbbe6cecdf31d105b8ea88eea066f72470a84a3e126631,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_019,math500_019,OP_CONSTANT_PERTURB,f7a69fe845daee0d4d9249b29a87360d26eabeab6c0b8f7a1c11f13317afda6d,dc8da0fe800af349515d467f4210b7d77ac1a72e8007f7f220d254ae27089dd7,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_020,math500_020,OP_CONSTANT_PERTURB,368f78a74185508903bec9adc80f2b8bb2a28a14d138a89d6777eb6c3116586a,2edfff4781b5ccffb3856ec91aaa87946de28b5b6d296de128433387565e68d2,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_021,math500_021,OP_CONSTANT_PERTURB,2519a0c95ea9dbe5dd4cc99181da56e2413704c73393908f37c5dd3fbe64b404,a3b1f5ca36ca4b69e5e2e18b6cacc0391528d9b5cd2889240702987bad744e00,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_022,math500_022,OP_CONSTANT_PERTURB,b4b4df56cf84427c9e3bee440abe1bada2af357d8d9fcd354dfd80cd9561f219,a2fc3ba5dceb34787b617019874d69f240c4153e1b9b232a13268adb350897b9,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_023,math500_023,OP_CONSTANT_PERTURB,60cc829fb1bff0c1d64ac62c742e439fe92e51d8f15d083f4d649f5546cbf7ad,2ca4a4e9eba0bc21acce65987738118bc3e65c2ea9af267dc89a40b307f7cb0c,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_024,math500_024,OP_CONSTANT_PERTURB,dd6824d8c5ff96e10422998754b5591d67d5156d65542154aa3f0b8093f4b00a,577a8a4d09495773dab951416fdbb665293822e29ad6175ac185ead0d25eea79,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_025,math500_025,OP_CONSTANT_PERTURB,572068dc8f54b719bfdddfe7f11459be82d69c734325a11a910aed6e64417a20,1ca6b0efe3736a81323e4512897c917be5b260b7c763fdc7e874f0569324109a,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_026,math500_026,OP_CONSTANT_PERTURB,9bfaabcd6ef5b8ebda1dd4afa4fccc113302e5c49383bec0fbfe6065e3629807,3056df14051da3abfe46fd7646728ff0e2152f704682c6850c3d353796e58c5b,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_027,math500_027,OP_CONSTANT_PERTURB,fe667aec15175c1571ed7656f3aac5ee7defc0801077e56ff56765483a26c0bc,120b3531b6ad0b7aa912cd1018aaa3357522ff10efe3bd604f1439bd0d288190,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_028,math500_028,OP_CONSTANT_PERTURB,ab78c7b5257dbad5274106debac0cab593a8709fc125ec1731254e95b4e3f30b,2fc9ac2024838990f97a03cafd5462922ff253687cc368f1468eb237f7671c96,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_029,math500_029,OP_CONSTANT_PERTURB,21d0988c1d103bced4363ee25040ebf03f8a42cee4e6359a6ce8f529d34a0881,410410019d3f538babb3bb22b72039e0d5b43b75f0ae7bee410968eee126e613,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_030,math500_030,OP_CONSTANT_PERTURB,bb5fd9b33b546f845436249751f18ce4fc9144aeb692a27b446529ab3d38c55a,4418bcc4a0bef7c422b13c7821b5ffc66df4974a9531d5ac3abfac0c7c06d3fa,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_032,math500_032,OP_CONSTANT_PERTURB,c79668b0d092ff5a5a84ec91f5a50cd2bd773239d88e53a9ffca72dac7738354,877f6efda88d5bb01f64c170704608ea52a820ca255a5d922a94aad52dff591a,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_033,math500_033,OP_CONSTANT_PERTURB,596d408e9811afa61fcc53b9e0ca8c0d68ea16a8c85b4c0cf71bd53fe4260676,6fd4a21f1b3ae276bb3336b93cde6b209dd4f4f57ed508f28f11952ecba58564,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_034,math500_034,OP_CONSTANT_PERTURB,6878c97919ce8531754e8d3f30ff8637b90dcded8d577d2e6f3b5363f0e141ae,0de2c6d246426674c1002ea2d7007e9f1f086a7cb7f32c6a1c8c59244aaa2ed7,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_035,math500_035,OP_CONSTANT_PERTURB,858f48ee4c948a89cc1eb610410c59267d5d3a0cd8288c7a2b01bd5420a5ae1e,d0480c53d41b3889d4502110d3cb01a0f7bf3fbeaf34395b25fe70eaea3fdf61,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_036,math500_036,OP_CONSTANT_PERTURB,dce550955b67ccbf1d42a62da890a29ee2b2c5cb13068b92d9685498b1b939f5,2708e8723273ad79cf46417f472db867e4a714dabdbb0503a90ed9e92ee89b10,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_037,math500_037,OP_CONSTANT_PERTURB,e75d00106795f1183044d07daa577b718fa1355800c6cee24337db3e2429545b,63bf57099c3879a9bbe6acf6e1ba5b8394ebe1f3eba2506dd03bedb3e7316d4b,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_038,math500_038,OP_CONSTANT_PERTURB,d8904a07fe13bcbfe04801ff5c9b80f239bc5758205a13df0b42d6d56ecffdd1,dcdf9e95a2aef22f3d36af8093abaef7d99fbf3b07a23241c2e78918eb699d8f,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_039,math500_039,OP_CONSTANT_PERTURB,22c11696bbbaafec5ceed8b8e40f259509d3fb3bd60036650d50c345064c8a9a,5ede72d04a3c1a7db81820455202af27e9ac3e82f987af14844301d7e354b126,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_040,math500_040,OP_CONSTANT_PERTURB,ccf5a6ea29f840abd350bdac51278f1d168312f44e389a93ab52513b2ba13ad3,bea5e8461a1f0d042c870e4c55451a90831c60cc1d9e3ece23b7aa3ca92fa69c,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_041,math500_041,OP_CONSTANT_PERTURB,e2a770ea08b3bc00319cb5e1ad1c48b74b6179679de7483f7ec41fa7f98a80b7,48280db67604c995ccb7416980d50ed87f30dbbe0458ab85dd67dd52f0046a0a,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_042,math500_042,OP_CONSTANT_PERTURB,e63f330e7a3207e48f4f53d6b8b86da85631b2a1192422836a497d27fa5fe69c,ea9e18c505b03d762ee50cc5c64945515bc526212a376534756ed400e070bd50,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_043,math500_043,OP_CONSTANT_PERTURB,2159cd54cb48f6ad5614e5a2971e075f99c26a4901a406deaaf1aea20faad0ee,71136a7ed335dffcbb0e9e74ae198422cf40e2d85c7951beaf0a1e3db2d21672,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_044,math500_044,OP_CONSTANT_PERTURB,554151b9028593c7d99aade78091b7032516ee0d7365f8c6c0687284b41f8cf8,ac37f067cea1ee09bbda89e3b20151bcf664a63d3636b82f36461928c48c5b93,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_045,math500_045,OP_CONSTANT_PERTURB,a22fe346b8d88a07740ac5c6c8d681c9489e8bef282bd6a47e5ef36b8de17f96,72fe02aa56a553aae09ae2b2cd80015cfed545a1f4b3a1743c30dba94ebd9e6c,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_046,math500_046,OP_CONSTANT_PERTURB,c551b28f502e14fef75e18e99a4489cf05a95b1d812d57380cf43e07738914c5,beeea3f06ffa9798c621fb23e9d35a59099a0f9555728ee5fd278685bd2b5cdd,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_047,math500_047,OP_CONSTANT_PERTURB,65e228c67aa8d36015b1923edfd10e8c24fc42600b054bf9ddb8ba3b00d2036a,66083c1e3e16de715c92b20710aef98bea459f34780d309cd9a6ff540285c0d8,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_048,math500_048,OP_CONSTANT_PERTURB,0bda7aeec5904fbf6330ce278ab2748ba6e722a51a42663c9b0a8a2b91f70ddd,6be853a45515a0422492156b4a83a473968edba43bae5596a6953ac30b46aa6a,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_049,math500_049,OP_CONSTANT_PERTURB,a0aaf02791ac4d821048613b978e29940662f2aad0ae7d32daed3d3071d64573,975f37dfe184c058f163fbee67cf8ee8239786080c287e489894c3106cdd00c5,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_050,math500_050,OP_CONSTANT_PERTURB,92b47ddcffb395d1b8152146d49331536beb2716653d8b1b3b6713e631321b67,e8d0abdf864e49d166612dc62788609b929c69a272caba46db270cada6d2bdc2,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_051,math500_051,OP_CONSTANT_PERTURB,cc7b452cf5ada4d80ad7c5d95dd61924e12a54a991395e0c92e6c78a23b0d2da,3dad784eab936cfbfb28e421d1878fce1cc702ce3b16e9b5e9c0d2dc2c609f5c,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_052,math500_052,OP_CONSTANT_PERTURB,1e4171d36707976289ce5bf082e4b198ca5878f374206d3950ad4f2dd7ff4348,d1c14b08907489ff239a5d67ea29095c301f30869637584270fecd0e22044b1c,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_055,math500_055,OP_CONSTANT_PERTURB,e44b4ff949e94b852e33b34626df24a3a8cdf37325904c7088878c06fa96c747,c37739a98f60431070eac245ee60ac39b86643818d8a3133e83e178287b01df0,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_056,math500_056,OP_CONSTANT_PERTURB,8abf408d64c98bdd3465666cafaf9baf82f7b70099984cd827a33a6625f3afc3,779dcf600da8b7d5570506c9c787df1188682c9ca38508d520b5cef286790a18,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_057,math500_057,OP_CONSTANT_PERTURB,c2653a5f3850b2bd0ccce5ac179b321ca0e7bbd8fe65bfa827411722109aff0b,03d49b1b6011a83b8d7797c4ab7123f017ed50fb84f4b1a25d14f2ad3d5ec02a,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_058,math500_058,OP_CONSTANT_PERTURB,7da88bae6dd1e7187bf30e5cfbb58d382628c8c8079ffaad5394cebab47d1cf1,870929170250833f91e60b41434918d34df5e98ab4c92614bdaa620324a61307,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_059,math500_059,OP_CONSTANT_PERTURB,f3f580183090d38ab9ebc1f854b8fba0076bb7522d301022c433b4ef8270c353,62edf349a60742b0ff3c6c1f593105aeb1e72931b66b690dc9c124dc5a0e7bca,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_060,math500_060,OP_CONSTANT_PERTURB,94ec544f2f8e7e31d7c90452443a1b6f346497112159170fbe4a1aac2687c2bf,b8f7fed533dca10777a1508735eb77b653bf78897a95bc067da513ac590cb660,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_061,math500_061,OP_CONSTANT_PERTURB,651977e84539bd7825a1db5fb7abbcd004fa79a9f3968d74aecd02286362d914,4b7b063c5b0ceafb020990cbf75ca48b375d0222f2d98ae48ffcd8529a655c2a,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_062,math500_062,OP_TERM_SWAP,3b171134331d1540ab50b0f43d43123f2396cb33eaf53d6ba16f410127f36828,b8964f3d75ecef9dec514e48330f8df5569b037677a9cf686b4a74d0f493b250,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_063,math500_063,OP_CONSTANT_PERTURB,13e40f0117bfa5435082ce77514d4fbee3a1e6ddef7b3f5d390154f4d9d37d7f,90751c7976eec176775a15846da1cae69718d56d8768839894664aae07b386ec,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_064,math500_064,OP_SIGN_FLIP,d46d2dbdec101e90b25ecc67531b1bf69b11e7b2dd1b8e3608a82fe2e4dda7f8,1b9741a8e289610c6430d4797d64798a31b9ae4b31708f3f0ba2474d48a3497f,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_066,math500_066,OP_CONSTANT_PERTURB,b3ffa94973ec29b829ed8e72ce57bc75cf467d57d014e37b94c692b37b439049,e2a495f23cae87f9231f1e9000b894bf25f57e761e6a187479bbd65cd4b5bddf,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_067,math500_067,OP_CONSTANT_PERTURB,5bb66ba110afaa4f779fbb8a32a7fe4321550e04f6cdb6be35d105723adde52a,f4c78d272e61e676e9a85f5821161ccaa97f452c067de3f62255c4986df59ff5,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_068,math500_068,OP_CONSTANT_PERTURB,3ccc543e4c5382514c0d48c5966286e0733a9afcbeac85c64d3d1649d0e03c84,f53c1adb4bc04f8c35b9f1507abea51e7840998e7443cf62ed93cb24d8166159,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_069,math500_069,OP_CONSTANT_PERTURB,f328322db7d4d1ca6c9a8ba806b6775d3164fb7848bd49dc5762391158b19ec3,79ff36dfbb95028e3536e11ce5a8e040e663a3f383bae8c058fd24c3678ecc6e,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_070,math500_070,OP_CONSTANT_PERTURB,e86eaa125da0492516bc937146e2c8a69eb4159fd601e8a6d4367ed7d33153fe,3714a3ecd7e98c79a36f42f338eeb3d5de64e6fd58d23a5f1aafad48cea62c60,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_071,math500_071,OP_CONSTANT_PERTURB,c16f31d4fabba21a04e7e6c1251705ab68fc17dfa75bcb4f915db7e1c535c748,459065a3ac606211f3b6389beefebefe1199dd7a58297f42fbdd0ef26747e7c9,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_072,math500_072,OP_CONSTANT_PERTURB,2d16ffa95d824aa7d0984584c02601513fe80d5849d7f75b45311ca1ec41f219,7b73df53b313103c2c905723b2f108308ed9f853f6c88c355015e6969549098b,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_073,math500_073,OP_CONSTANT_PERTURB,5dba4ad1e6af8e3abd1ff9a7e5062fd6dbf1adf9c2582616477e157986dce33c,ee6801aae9907695140019db6cd174615c079edf7b4194e5788aea1541fbd63d,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_074,math500_074,OP_CONSTANT_PERTURB,692223e0abb127d966bfb74d4d9d01b11465c9f6a2e29366ece8f4a5f82759a7,499533013c614ee9a4ccfdf898aff4410d94ce31d84e605baf8e9c09a2d0136b,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_075,math500_075,OP_CONSTANT_PERTURB,24bc51c91f2c465a260761ff1430cb2ae5280a2cc81a733e5e1874fd36fb08ac,f66a1df0f04d562585653e130860a4f7d749222743d5beef97a517fbf3a6916b,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_076,math500_076,OP_CONSTANT_PERTURB,03ab1a6c1482234ce11ba3504cf2104b7159b7d03c69f3585f00097dd72813b7,4310fefd1c5efaa1e443731e1d4605e297194ec1ae7574d1ae38ebcc3ff1c90a,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_077,math500_077,OP_CONSTANT_PERTURB,0c1927b68ea841aef01165e8f9d260401ff7a22b3c6f391f470f0df53c9b6a41,ccf66775bf6d955bd0cae4e2c106ed7d7d130df9f3db217cceb43aaf4fa02833,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_078,math500_078,OP_CONSTANT_PERTURB,5e44f03a59c0eaec8e067db306474693501097379d522d8b3676e06ef82974f8,4585dd5ea436cd5559d5767129be203aad612d131771ef2184a2549987aeaea9,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_079,math500_079,OP_CONSTANT_PERTURB,d192adcdb3e2744cda5f83f97f7df707c49a2be91fcfcdea821339e06b716456,5433e9dac57ba259c7e94281ab80e9a4f9dc4161e923c8a799d482dbc926c76e,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_081,math500_081,OP_SIGN_FLIP,a2b93fc995efae0fa467311b04fe12e41aef50b58c3c22f61110e414475d01bf,c80fec861ba8607cdb40e5542984c680854e27ac7facab0864aef3f95cf9c5e6,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_082,math500_082,OP_CONSTANT_PERTURB,dfc44f893d3f761556924c0e16e23267a95938c94e276eeb96b58655b8f70e9c,b67a2577a8089fd3943a62a2294bb375279c7ef94f3f3b891615542a18b086c2,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_083,math500_083,OP_CONSTANT_PERTURB,77a9672b1430d68a554bc34d1f1da1859946de8e3da3a82a57367fce509e5082,6fe87b2c4ad336e8957a20931fd29588abfe4dd00b649bdea898154ba3cf8429,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_084,math500_084,OP_CONSTANT_PERTURB,bbc8e2ea1662ebeea89e21296e15338cd83f915a6639f1f6f21b7c42f5efcfe9,42b8e8d063fe0e08eaa8035660aaba1205ff035f282438da732c04eeacb13f4b,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_086,math500_086,OP_CONSTANT_PERTURB,b1394b81722bb7b2d782e786a5182df187652275828adfa45e58db720c59cfcf,86e8ac19078573f190354752d74699c4b1b0a09973cb102558b436358f3bf7da,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_088,math500_088,OP_CONSTANT_PERTURB,a064c7c10a4316e024fcb776a8701da3e7f8babb847347fab7de2b9625857848,580d7d78539b690635f6bd8cee989edd20fc2b88a99bffd7aa43879a325fadc0,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_089,math500_089,OP_CONSTANT_PERTURB,4e3cd5a874e1df9033663031ec6fe0a291083d9fcb14977439322641f076c73f,9dd7baa0e14e5ae60ec76377140ea6f9bb2c3cbb7e0f6202515aba687791ea80,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_090,math500_090,OP_CONSTANT_PERTURB,60780060978b7b956eba9610a37054108ea52b5b7152b4112d4b0cce2f002178,05a01e012b6cd529e986aeb96fca1a8167ab1b016db0ed7f98af22bd71ea9f96,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_091,math500_091,OP_CONSTANT_PERTURB,608c48b613e06fedc3527721b5a8b8beebe7df191dfd7eb5c4aa7ef3b952674f,abc0c242e52369d9510aa512a90e3929772b696e6f2dffd19910e5373490cb39,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_092,math500_092,OP_CONSTANT_PERTURB,3485c4f893f4c0c87736ae516a1a9adb14c8c484381e204c989f32239731be88,72eaa548dbc66f6c1e64f50d5938309f5da9758dc8cc000d9632a3f7ee6a1a3a,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_093,math500_093,OP_CONSTANT_PERTURB,233eef1d767baa07b85eb6391f4b02b4a13068648f0490009b6ab1f215e9d87b,348bc488e2f21430ef03cfc626d8aa7ffbf9086da15a2233fbab087c49ba8da5,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_094,math500_094,OP_CONSTANT_PERTURB,3b9cd65b1755cb603b6c862f88af6ea3c836db8783aa8e978067c6bab1a73f7c,de4745bba8b245d13f216e315ab2436f037790d2ff7b7f2266b8ece12c3af644,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_095,math500_095,OP_CONSTANT_PERTURB,ccf4acc67fbff5e0571f9d04c8848d2462f31258b58706d0412e08ff4a546f13,9d671919329249dec3a86cb62c138c3ece68830afe6ec1fcbf9bd3e701fcccb4,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_096,math500_096,OP_CONSTANT_PERTURB,a6f289adeeba3d5c307ff52e1a21b23cd91ae388e34a74f24b0772ee4bc6117e,cd32c9c5e9c89c143889bb354520415d0a085ca640a0647fd5a9f798ceca5cf8,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_098,math500_098,OP_CONSTANT_PERTURB,dbd416dcec6c1e7a6ba5d05c2dcfc16d99cd884afd2b0cfb15a4f4802746b4d9,ef0c0ff0b6ac3309f9afc79ba30da61173e5066ad5dd58c63149790aba55747a,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_099,math500_099,OP_CONSTANT_PERTURB,9a5cb96ee7f6079e9cfa779fe10279568752eb815af542d18d86554b8191ccbd,aff501eb7cd7ba8ba1c21af9e4eed1d183c7ebb0b6831b634bcc7e4a1169d4a9,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_100,math500_100,OP_CONSTANT_PERTURB,e9877144b0d7660946836c24c703e952f11277349c85400f96a73d83e977b8e9,43b82df4830fcd5c9b8e5a061b86869fc328f45e997253ec7d7970777ffaa91c,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_101,math500_101,OP_CONSTANT_PERTURB,bb26c971b6e3ac9d145c6a7f5102c2dcae1751998465d69f12cfbfa3b48fe6c2,58f077ee89d1af376686387ddf7b99b359bc3d5eaa7d9cb101806d955e888981,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_102,math500_102,OP_CONSTANT_PERTURB,294110dca917b6cc2133cf69d9057b398155c17535a8728a5fc04e891ccf4438,f39ca86f146ab17e466bba31ae112d7bb1706b6028072fe870a1cb007bf98428,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_103,math500_103,OP_CONSTANT_PERTURB,83931d88283788fb68b4089ff341612d252755d407dcd4bd5eb37b44d6e9e4d4,8a9fbfee4686cf4ed73dff3c06f9817d818e0dbeb67fdfeb5d4023aa72a61339,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_104,math500_104,OP_CONSTANT_PERTURB,8299068687229e70dc5085b3196702a10cec977650ab1fc6925cc5d6fa0a19a0,31c27a7afe4d5a7649161124f73a036ee2f46e7bac3e18675f76ddaebd222118,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_105,math500_105,OP_CONSTANT_PERTURB,9913d3867053e7298efa28f409cde803c4056c8fe119bb507ce54eef36a8e596,b9e415b19cee6bf161e77f56a2cc187688d401b0003bb494b9be02d775a746f6,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_106,math500_106,OP_CONSTANT_PERTURB,c56dc5803e39f1a4ec453f6292aaa5a87886b87cc9c1593f4c6694fc5cb76d5c,a2e56b9e08ceb4c271be7aeef33055f8c08e63b091dabcc947d09b8f59bd6cce,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_108,math500_108,OP_CONSTANT_PERTURB,6392f8afe6a3032cbab5f9295b4b676b199c130b2066e4dfbb722930c2d04503,8bb6201808af679bb43af775a89ca0d2d090da4202e82c19c0ddc98f0e7f5365,YES,YES,YES,YES,YES,YES,PASSED,NONE
