problem_id,eligible_operator,failure_stage,exact_exclusion_reason
math500_269,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_271,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_273,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_275,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_277,NONE,PERTURBATION_ELIGIBILITY,Solution consists entirely of conceptual prose without numeric equations or equality assertions.
math500_278,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_282,NONE,PERTURBATION_ELIGIBILITY,Solution consists entirely of conceptual prose without numeric equations or equality assertions.
math500_298,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_305,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_308,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_310,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_312,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_313,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_314,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_323,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_326,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_343,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_345,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_347,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_349,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_351,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_354,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_359,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_384,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_387,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_393,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_405,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_411,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_413,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_414,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_416,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_420,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_438,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_439,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_440,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_442,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_443,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_447,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_449,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_455,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_456,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_457,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_467,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_471,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_474,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_480,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_487,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_488,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_491,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
