rollout_id,pair_id,state_type,checkpoint_t,rollout_k,target_transition_success,generated_token_count
pair_pair_math500_001_recovery_ckpt_256_r_03,pair_math500_001,recovery,256,3,1,467
pair_pair_math500_001_recovery_ckpt_256_r_04,pair_math500_001,recovery,256,4,0,499
pair_pair_math500_001_recovery_ckpt_256_r_05,pair_math500_001,recovery,256,5,0,452
pair_pair_math500_001_recovery_ckpt_256_r_06,pair_math500_001,recovery,256,6,0,496
pair_pair_math500_001_recovery_ckpt_256_r_07,pair_math500_001,recovery,256,7,1,496
pair_pair_math500_001_recovery_ckpt_256_r_08,pair_math500_001,recovery,256,8,1,512
pair_pair_math500_001_recovery_ckpt_256_r_09,pair_math500_001,recovery,256,9,0,419
pair_pair_math500_001_recovery_ckpt_256_r_10,pair_math500_001,recovery,256,10,0,399
pair_pair_math500_001_recovery_ckpt_256_r_11,pair_math500_001,recovery,256,11,1,492
pair_pair_math500_001_recovery_ckpt_256_r_12,pair_math500_001,recovery,256,12,1,512
pair_pair_math500_001_recovery_ckpt_256_r_13,pair_math500_001,recovery,256,13,0,490
pair_pair_math500_001_recovery_ckpt_256_r_14,pair_math500_001,recovery,256,14,0,512
pair_pair_math500_001_recovery_ckpt_256_r_15,pair_math500_001,recovery,256,15,0,457
pair_pair_math500_001_recovery_ckpt_256_r_16,pair_math500_001,recovery,256,16,1,512
pair_pair_math500_002_control_ckpt_000_r_01,pair_math500_002,control,0,1,0,479
pair_pair_math500_002_control_ckpt_000_r_02,pair_math500_002,control,0,2,0,512
pair_pair_math500_002_control_ckpt_000_r_03,pair_math500_002,control,0,3,1,512
pair_pair_math500_002_control_ckpt_000_r_04,pair_math500_002,control,0,4,1,512
pair_pair_math500_002_control_ckpt_000_r_05,pair_math500_002,control,0,5,1,512
pair_pair_math500_002_control_ckpt_000_r_06,pair_math500_002,control,0,6,1,512
pair_pair_math500_002_control_ckpt_000_r_07,pair_math500_002,control,0,7,0,512
pair_pair_math500_002_control_ckpt_000_r_08,pair_math500_002,control,0,8,0,463
pair_pair_math500_002_control_ckpt_000_r_09,pair_math500_002,control,0,9,0,512
pair_pair_math500_002_control_ckpt_000_r_10,pair_math500_002,control,0,10,0,477
pair_pair_math500_002_control_ckpt_000_r_11,pair_math500_002,control,0,11,1,496
pair_pair_math500_002_control_ckpt_000_r_12,pair_math500_002,control,0,12,1,482
pair_pair_math500_002_control_ckpt_000_r_13,pair_math500_002,control,0,13,1,512
pair_pair_math500_002_control_ckpt_000_r_14,pair_math500_002,control,0,14,0,512
pair_pair_math500_002_control_ckpt_000_r_15,pair_math500_002,control,0,15,0,509
pair_pair_math500_002_control_ckpt_000_r_16,pair_math500_002,control,0,16,1,512
pair_pair_math500_002_control_ckpt_256_r_01,pair_math500_002,control,256,1,0,512
pair_pair_math500_002_control_ckpt_256_r_02,pair_math500_002,control,256,2,1,512
pair_pair_math500_002_control_ckpt_256_r_03,pair_math500_002,control,256,3,1,474
pair_pair_math500_002_control_ckpt_256_r_04,pair_math500_002,control,256,4,1,512
pair_pair_math500_002_control_ckpt_256_r_05,pair_math500_002,control,256,5,1,501
pair_pair_math500_002_control_ckpt_256_r_06,pair_math500_002,control,256,6,0,440
pair_pair_math500_002_control_ckpt_256_r_07,pair_math500_002,control,256,7,1,512
pair_pair_math500_002_control_ckpt_256_r_08,pair_math500_002,control,256,8,1,512
pair_pair_math500_002_control_ckpt_256_r_09,pair_math500_002,control,256,9,1,511
pair_pair_math500_002_control_ckpt_256_r_10,pair_math500_002,control,256,10,0,445
pair_pair_math500_002_control_ckpt_256_r_11,pair_math500_002,control,256,11,0,512
pair_pair_math500_002_control_ckpt_256_r_12,pair_math500_002,control,256,12,0,512
pair_pair_math500_002_control_ckpt_256_r_13,pair_math500_002,control,256,13,0,467
pair_pair_math500_002_control_ckpt_256_r_14,pair_math500_002,control,256,14,1,474
pair_pair_math500_002_control_ckpt_256_r_15,pair_math500_002,control,256,15,0,512
pair_pair_math500_002_control_ckpt_256_r_16,pair_math500_002,control,256,16,1,512
pair_pair_math500_002_recovery_ckpt_000_r_01,pair_math500_002,recovery,0,1,1,512
pair_pair_math500_002_recovery_ckpt_000_r_02,pair_math500_002,recovery,0,2,1,512
pair_pair_math500_002_recovery_ckpt_000_r_03,pair_math500_002,recovery,0,3,0,467
pair_pair_math500_002_recovery_ckpt_000_r_04,pair_math500_002,recovery,0,4,1,460
pair_pair_math500_002_recovery_ckpt_000_r_05,pair_math500_002,recovery,0,5,1,512
pair_pair_math500_002_recovery_ckpt_000_r_06,pair_math500_002,recovery,0,6,1,512
pair_pair_math500_002_recovery_ckpt_000_r_07,pair_math500_002,recovery,0,7,0,470
pair_pair_math500_002_recovery_ckpt_000_r_08,pair_math500_002,recovery,0,8,1,512
pair_pair_math500_002_recovery_ckpt_000_r_09,pair_math500_002,recovery,0,9,0,441
pair_pair_math500_002_recovery_ckpt_000_r_10,pair_math500_002,recovery,0,10,0,459
pair_pair_math500_002_recovery_ckpt_000_r_11,pair_math500_002,recovery,0,11,1,512
pair_pair_math500_002_recovery_ckpt_000_r_12,pair_math500_002,recovery,0,12,0,425
pair_pair_math500_002_recovery_ckpt_000_r_13,pair_math500_002,recovery,0,13,0,512
pair_pair_math500_002_recovery_ckpt_000_r_14,pair_math500_002,recovery,0,14,0,512
pair_pair_math500_002_recovery_ckpt_000_r_15,pair_math500_002,recovery,0,15,0,447
pair_pair_math500_002_recovery_ckpt_000_r_16,pair_math500_002,recovery,0,16,0,468
pair_pair_math500_002_recovery_ckpt_256_r_01,pair_math500_002,recovery,256,1,0,512
pair_pair_math500_002_recovery_ckpt_256_r_02,pair_math500_002,recovery,256,2,1,512
pair_pair_math500_002_recovery_ckpt_256_r_03,pair_math500_002,recovery,256,3,1,476
pair_pair_math500_002_recovery_ckpt_256_r_04,pair_math500_002,recovery,256,4,1,512
pair_pair_math500_002_recovery_ckpt_256_r_05,pair_math500_002,recovery,256,5,1,499
pair_pair_math500_002_recovery_ckpt_256_r_06,pair_math500_002,recovery,256,6,1,512
pair_pair_math500_002_recovery_ckpt_256_r_07,pair_math500_002,recovery,256,7,1,468
pair_pair_math500_002_recovery_ckpt_256_r_08,pair_math500_002,recovery,256,8,0,470
pair_pair_math500_002_recovery_ckpt_256_r_09,pair_math500_002,recovery,256,9,0,512
pair_pair_math500_002_recovery_ckpt_256_r_10,pair_math500_002,recovery,256,10,0,494
pair_pair_math500_002_recovery_ckpt_256_r_11,pair_math500_002,recovery,256,11,1,456
pair_pair_math500_002_recovery_ckpt_256_r_12,pair_math500_002,recovery,256,12,1,511
pair_pair_math500_002_recovery_ckpt_256_r_13,pair_math500_002,recovery,256,13,0,512
pair_pair_math500_002_recovery_ckpt_256_r_14,pair_math500_002,recovery,256,14,0,478
pair_pair_math500_002_recovery_ckpt_256_r_15,pair_math500_002,recovery,256,15,1,512
pair_pair_math500_002_recovery_ckpt_256_r_16,pair_math500_002,recovery,256,16,1,461
pair_pair_math500_003_control_ckpt_000_r_01,pair_math500_003,control,0,1,0,478
pair_pair_math500_003_control_ckpt_000_r_02,pair_math500_003,control,0,2,0,512
pair_pair_math500_003_control_ckpt_000_r_03,pair_math500_003,control,0,3,0,477
pair_pair_math500_003_control_ckpt_000_r_04,pair_math500_003,control,0,4,0,512
pair_pair_math500_003_control_ckpt_000_r_05,pair_math500_003,control,0,5,0,461
pair_pair_math500_003_control_ckpt_000_r_06,pair_math500_003,control,0,6,0,512
pair_pair_math500_003_control_ckpt_000_r_07,pair_math500_003,control,0,7,1,512
pair_pair_math500_003_control_ckpt_000_r_08,pair_math500_003,control,0,8,0,455
pair_pair_math500_003_control_ckpt_000_r_09,pair_math500_003,control,0,9,1,469
pair_pair_math500_003_control_ckpt_000_r_10,pair_math500_003,control,0,10,1,466
pair_pair_math500_003_control_ckpt_000_r_11,pair_math500_003,control,0,11,1,482
pair_pair_math500_003_control_ckpt_000_r_12,pair_math500_003,control,0,12,0,466
pair_pair_math500_003_control_ckpt_000_r_13,pair_math500_003,control,0,13,0,422
pair_pair_math500_003_control_ckpt_000_r_14,pair_math500_003,control,0,14,1,512
pair_pair_math500_003_control_ckpt_000_r_15,pair_math500_003,control,0,15,0,512
pair_pair_math500_003_control_ckpt_000_r_16,pair_math500_003,control,0,16,0,512
pair_pair_math500_003_control_ckpt_256_r_01,pair_math500_003,control,256,1,1,512
pair_pair_math500_003_control_ckpt_256_r_02,pair_math500_003,control,256,2,0,512
pair_pair_math500_003_control_ckpt_256_r_03,pair_math500_003,control,256,3,1,488
pair_pair_math500_003_control_ckpt_256_r_04,pair_math500_003,control,256,4,0,483
pair_pair_math500_003_control_ckpt_256_r_05,pair_math500_003,control,256,5,0,512
pair_pair_math500_003_control_ckpt_256_r_06,pair_math500_003,control,256,6,1,493
pair_pair_math500_003_control_ckpt_256_r_07,pair_math500_003,control,256,7,1,512
pair_pair_math500_003_control_ckpt_256_r_08,pair_math500_003,control,256,8,1,479
pair_pair_math500_003_control_ckpt_256_r_09,pair_math500_003,control,256,9,0,512
pair_pair_math500_003_control_ckpt_256_r_10,pair_math500_003,control,256,10,0,512
pair_pair_math500_003_control_ckpt_256_r_11,pair_math500_003,control,256,11,1,512
pair_pair_math500_003_control_ckpt_256_r_12,pair_math500_003,control,256,12,1,510
pair_pair_math500_003_control_ckpt_256_r_13,pair_math500_003,control,256,13,0,499
pair_pair_math500_003_control_ckpt_256_r_14,pair_math500_003,control,256,14,1,414
pair_pair_math500_003_control_ckpt_256_r_15,pair_math500_003,control,256,15,1,446
pair_pair_math500_003_control_ckpt_256_r_16,pair_math500_003,control,256,16,1,470
pair_pair_math500_003_recovery_ckpt_000_r_01,pair_math500_003,recovery,0,1,1,512
pair_pair_math500_003_recovery_ckpt_000_r_02,pair_math500_003,recovery,0,2,1,463
pair_pair_math500_003_recovery_ckpt_000_r_03,pair_math500_003,recovery,0,3,1,512
pair_pair_math500_003_recovery_ckpt_000_r_04,pair_math500_003,recovery,0,4,1,510
pair_pair_math500_003_recovery_ckpt_000_r_05,pair_math500_003,recovery,0,5,1,512
pair_pair_math500_003_recovery_ckpt_000_r_06,pair_math500_003,recovery,0,6,0,469
pair_pair_math500_003_recovery_ckpt_000_r_07,pair_math500_003,recovery,0,7,0,496
pair_pair_math500_003_recovery_ckpt_000_r_08,pair_math500_003,recovery,0,8,0,447
pair_pair_math500_003_recovery_ckpt_000_r_09,pair_math500_003,recovery,0,9,0,496
pair_pair_math500_003_recovery_ckpt_000_r_10,pair_math500_003,recovery,0,10,0,409
pair_pair_math500_003_recovery_ckpt_000_r_11,pair_math500_003,recovery,0,11,0,446
pair_pair_math500_003_recovery_ckpt_000_r_12,pair_math500_003,recovery,0,12,1,487
pair_pair_math500_003_recovery_ckpt_000_r_13,pair_math500_003,recovery,0,13,1,429
pair_pair_math500_003_recovery_ckpt_000_r_14,pair_math500_003,recovery,0,14,1,498
pair_pair_math500_003_recovery_ckpt_000_r_15,pair_math500_003,recovery,0,15,0,512
pair_pair_math500_003_recovery_ckpt_000_r_16,pair_math500_003,recovery,0,16,0,475
pair_pair_math500_003_recovery_ckpt_256_r_01,pair_math500_003,recovery,256,1,1,446
pair_pair_math500_003_recovery_ckpt_256_r_02,pair_math500_003,recovery,256,2,1,467
pair_pair_math500_003_recovery_ckpt_256_r_03,pair_math500_003,recovery,256,3,1,501
pair_pair_math500_003_recovery_ckpt_256_r_04,pair_math500_003,recovery,256,4,1,470
pair_pair_math500_003_recovery_ckpt_256_r_05,pair_math500_003,recovery,256,5,0,512
pair_pair_math500_003_recovery_ckpt_256_r_06,pair_math500_003,recovery,256,6,1,483
pair_pair_math500_003_recovery_ckpt_256_r_07,pair_math500_003,recovery,256,7,1,440
pair_pair_math500_003_recovery_ckpt_256_r_08,pair_math500_003,recovery,256,8,0,480
pair_pair_math500_003_recovery_ckpt_256_r_09,pair_math500_003,recovery,256,9,1,511
pair_pair_math500_003_recovery_ckpt_256_r_10,pair_math500_003,recovery,256,10,1,491
pair_pair_math500_003_recovery_ckpt_256_r_11,pair_math500_003,recovery,256,11,0,434
pair_pair_math500_003_recovery_ckpt_256_r_12,pair_math500_003,recovery,256,12,1,512
pair_pair_math500_003_recovery_ckpt_256_r_13,pair_math500_003,recovery,256,13,0,459
pair_pair_math500_003_recovery_ckpt_256_r_14,pair_math500_003,recovery,256,14,1,508
pair_pair_math500_003_recovery_ckpt_256_r_15,pair_math500_003,recovery,256,15,0,512
pair_pair_math500_003_recovery_ckpt_256_r_16,pair_math500_003,recovery,256,16,0,493
pair_pair_math500_005_control_ckpt_000_r_01,pair_math500_005,control,0,1,1,501
pair_pair_math500_005_control_ckpt_000_r_02,pair_math500_005,control,0,2,0,501
pair_pair_math500_005_control_ckpt_000_r_03,pair_math500_005,control,0,3,0,471
pair_pair_math500_005_control_ckpt_000_r_04,pair_math500_005,control,0,4,0,470
pair_pair_math500_005_control_ckpt_000_r_05,pair_math500_005,control,0,5,0,512
pair_pair_math500_005_control_ckpt_000_r_06,pair_math500_005,control,0,6,0,493
pair_pair_math500_005_control_ckpt_000_r_07,pair_math500_005,control,0,7,0,512
pair_pair_math500_005_control_ckpt_000_r_08,pair_math500_005,control,0,8,1,512
pair_pair_math500_005_control_ckpt_000_r_09,pair_math500_005,control,0,9,0,451
pair_pair_math500_005_control_ckpt_000_r_10,pair_math500_005,control,0,10,0,448
pair_pair_math500_005_control_ckpt_000_r_11,pair_math500_005,control,0,11,0,488
pair_pair_math500_005_control_ckpt_000_r_12,pair_math500_005,control,0,12,0,484
pair_pair_math500_005_control_ckpt_000_r_13,pair_math500_005,control,0,13,0,473
pair_pair_math500_005_control_ckpt_000_r_14,pair_math500_005,control,0,14,0,449
pair_pair_math500_005_control_ckpt_000_r_15,pair_math500_005,control,0,15,0,490
pair_pair_math500_005_control_ckpt_000_r_16,pair_math500_005,control,0,16,1,512
pair_pair_math500_005_control_ckpt_256_r_01,pair_math500_005,control,256,1,0,512
pair_pair_math500_005_control_ckpt_256_r_02,pair_math500_005,control,256,2,0,512
pair_pair_math500_005_control_ckpt_256_r_03,pair_math500_005,control,256,3,1,512
pair_pair_math500_005_control_ckpt_256_r_04,pair_math500_005,control,256,4,0,512
pair_pair_math500_005_control_ckpt_256_r_05,pair_math500_005,control,256,5,1,487
pair_pair_math500_005_control_ckpt_256_r_06,pair_math500_005,control,256,6,0,512
pair_pair_math500_005_control_ckpt_256_r_07,pair_math500_005,control,256,7,0,485
pair_pair_math500_005_control_ckpt_256_r_08,pair_math500_005,control,256,8,1,501
pair_pair_math500_005_control_ckpt_256_r_09,pair_math500_005,control,256,9,0,473
pair_pair_math500_005_control_ckpt_256_r_10,pair_math500_005,control,256,10,0,499
pair_pair_math500_005_control_ckpt_256_r_11,pair_math500_005,control,256,11,1,512
pair_pair_math500_005_control_ckpt_256_r_12,pair_math500_005,control,256,12,1,512
pair_pair_math500_005_control_ckpt_256_r_13,pair_math500_005,control,256,13,1,470
pair_pair_math500_005_control_ckpt_256_r_14,pair_math500_005,control,256,14,0,463
pair_pair_math500_005_control_ckpt_256_r_15,pair_math500_005,control,256,15,1,512
pair_pair_math500_005_control_ckpt_256_r_16,pair_math500_005,control,256,16,1,466
pair_pair_math500_005_recovery_ckpt_000_r_01,pair_math500_005,recovery,0,1,0,466
pair_pair_math500_005_recovery_ckpt_000_r_02,pair_math500_005,recovery,0,2,1,480
pair_pair_math500_005_recovery_ckpt_000_r_03,pair_math500_005,recovery,0,3,1,512
pair_pair_math500_005_recovery_ckpt_000_r_04,pair_math500_005,recovery,0,4,1,512
pair_pair_math500_005_recovery_ckpt_000_r_05,pair_math500_005,recovery,0,5,0,511
pair_pair_math500_005_recovery_ckpt_000_r_06,pair_math500_005,recovery,0,6,1,485
pair_pair_math500_005_recovery_ckpt_000_r_07,pair_math500_005,recovery,0,7,1,490
pair_pair_math500_005_recovery_ckpt_000_r_08,pair_math500_005,recovery,0,8,0,512
pair_pair_math500_005_recovery_ckpt_000_r_09,pair_math500_005,recovery,0,9,0,508
pair_pair_math500_005_recovery_ckpt_000_r_10,pair_math500_005,recovery,0,10,1,502
pair_pair_math500_005_recovery_ckpt_000_r_11,pair_math500_005,recovery,0,11,0,427
pair_pair_math500_005_recovery_ckpt_000_r_12,pair_math500_005,recovery,0,12,1,494
pair_pair_math500_005_recovery_ckpt_000_r_13,pair_math500_005,recovery,0,13,0,453
pair_pair_math500_005_recovery_ckpt_000_r_14,pair_math500_005,recovery,0,14,1,457
pair_pair_math500_005_recovery_ckpt_000_r_15,pair_math500_005,recovery,0,15,0,484
pair_pair_math500_005_recovery_ckpt_000_r_16,pair_math500_005,recovery,0,16,0,512
pair_pair_math500_005_recovery_ckpt_256_r_01,pair_math500_005,recovery,256,1,0,512
pair_pair_math500_005_recovery_ckpt_256_r_02,pair_math500_005,recovery,256,2,1,457
pair_pair_math500_005_recovery_ckpt_256_r_03,pair_math500_005,recovery,256,3,1,487
pair_pair_math500_005_recovery_ckpt_256_r_04,pair_math500_005,recovery,256,4,1,471
pair_pair_math500_005_recovery_ckpt_256_r_05,pair_math500_005,recovery,256,5,1,512
pair_pair_math500_005_recovery_ckpt_256_r_06,pair_math500_005,recovery,256,6,1,509
pair_pair_math500_005_recovery_ckpt_256_r_07,pair_math500_005,recovery,256,7,0,491
pair_pair_math500_005_recovery_ckpt_256_r_08,pair_math500_005,recovery,256,8,1,488
pair_pair_math500_005_recovery_ckpt_256_r_09,pair_math500_005,recovery,256,9,0,512
pair_pair_math500_005_recovery_ckpt_256_r_10,pair_math500_005,recovery,256,10,0,497
pair_pair_math500_005_recovery_ckpt_256_r_11,pair_math500_005,recovery,256,11,1,460
pair_pair_math500_005_recovery_ckpt_256_r_12,pair_math500_005,recovery,256,12,1,512
pair_pair_math500_005_recovery_ckpt_256_r_13,pair_math500_005,recovery,256,13,1,507
pair_pair_math500_005_recovery_ckpt_256_r_14,pair_math500_005,recovery,256,14,1,493
pair_pair_math500_005_recovery_ckpt_256_r_15,pair_math500_005,recovery,256,15,1,490
pair_pair_math500_005_recovery_ckpt_256_r_16,pair_math500_005,recovery,256,16,0,472
pair_pair_math500_006_control_ckpt_000_r_01,pair_math500_006,control,0,1,0,512
pair_pair_math500_006_control_ckpt_000_r_02,pair_math500_006,control,0,2,1,512
pair_pair_math500_006_control_ckpt_000_r_03,pair_math500_006,control,0,3,0,512
pair_pair_math500_006_control_ckpt_000_r_04,pair_math500_006,control,0,4,1,506
pair_pair_math500_006_control_ckpt_000_r_05,pair_math500_006,control,0,5,0,512
pair_pair_math500_006_control_ckpt_000_r_06,pair_math500_006,control,0,6,0,512
pair_pair_math500_006_control_ckpt_000_r_07,pair_math500_006,control,0,7,1,512
pair_pair_math500_006_control_ckpt_000_r_08,pair_math500_006,control,0,8,1,497
pair_pair_math500_006_control_ckpt_000_r_09,pair_math500_006,control,0,9,1,436
pair_pair_math500_006_control_ckpt_000_r_10,pair_math500_006,control,0,10,1,512
pair_pair_math500_006_control_ckpt_000_r_11,pair_math500_006,control,0,11,1,512
pair_pair_math500_006_control_ckpt_000_r_12,pair_math500_006,control,0,12,0,504
pair_pair_math500_006_control_ckpt_000_r_13,pair_math500_006,control,0,13,0,512
pair_pair_math500_006_control_ckpt_000_r_14,pair_math500_006,control,0,14,1,458
pair_pair_math500_006_control_ckpt_000_r_15,pair_math500_006,control,0,15,1,512
pair_pair_math500_006_control_ckpt_000_r_16,pair_math500_006,control,0,16,0,482
pair_pair_math500_006_control_ckpt_256_r_01,pair_math500_006,control,256,1,1,503
pair_pair_math500_006_control_ckpt_256_r_02,pair_math500_006,control,256,2,0,512
pair_pair_math500_006_control_ckpt_256_r_03,pair_math500_006,control,256,3,0,512
pair_pair_math500_006_control_ckpt_256_r_04,pair_math500_006,control,256,4,1,512
pair_pair_math500_006_control_ckpt_256_r_05,pair_math500_006,control,256,5,1,486
pair_pair_math500_006_control_ckpt_256_r_06,pair_math500_006,control,256,6,1,512
pair_pair_math500_006_control_ckpt_256_r_07,pair_math500_006,control,256,7,0,512
pair_pair_math500_006_control_ckpt_256_r_08,pair_math500_006,control,256,8,0,490
pair_pair_math500_006_control_ckpt_256_r_09,pair_math500_006,control,256,9,0,472
pair_pair_math500_006_control_ckpt_256_r_10,pair_math500_006,control,256,10,0,512
pair_pair_math500_006_control_ckpt_256_r_11,pair_math500_006,control,256,11,1,512
pair_pair_math500_006_control_ckpt_256_r_12,pair_math500_006,control,256,12,1,512
pair_pair_math500_006_control_ckpt_256_r_13,pair_math500_006,control,256,13,0,512
pair_pair_math500_006_control_ckpt_256_r_14,pair_math500_006,control,256,14,1,461
pair_pair_math500_006_control_ckpt_256_r_15,pair_math500_006,control,256,15,0,472
pair_pair_math500_006_control_ckpt_256_r_16,pair_math500_006,control,256,16,0,512
pair_pair_math500_006_recovery_ckpt_000_r_01,pair_math500_006,recovery,0,1,1,459
pair_pair_math500_006_recovery_ckpt_000_r_02,pair_math500_006,recovery,0,2,0,512
pair_pair_math500_006_recovery_ckpt_000_r_03,pair_math500_006,recovery,0,3,1,512
pair_pair_math500_006_recovery_ckpt_000_r_04,pair_math500_006,recovery,0,4,1,386
pair_pair_math500_006_recovery_ckpt_000_r_05,pair_math500_006,recovery,0,5,0,460
pair_pair_math500_006_recovery_ckpt_000_r_06,pair_math500_006,recovery,0,6,0,464
pair_pair_math500_006_recovery_ckpt_000_r_07,pair_math500_006,recovery,0,7,1,469
pair_pair_math500_006_recovery_ckpt_000_r_08,pair_math500_006,recovery,0,8,0,450
pair_pair_math500_006_recovery_ckpt_000_r_09,pair_math500_006,recovery,0,9,1,444
pair_pair_math500_006_recovery_ckpt_000_r_10,pair_math500_006,recovery,0,10,0,512
pair_pair_math500_006_recovery_ckpt_000_r_11,pair_math500_006,recovery,0,11,0,425
pair_pair_math500_006_recovery_ckpt_000_r_12,pair_math500_006,recovery,0,12,1,512
pair_pair_math500_006_recovery_ckpt_000_r_13,pair_math500_006,recovery,0,13,1,469
pair_pair_math500_006_recovery_ckpt_000_r_14,pair_math500_006,recovery,0,14,0,451
pair_pair_math500_006_recovery_ckpt_000_r_15,pair_math500_006,recovery,0,15,1,496
pair_pair_math500_006_recovery_ckpt_000_r_16,pair_math500_006,recovery,0,16,0,512
pair_pair_math500_006_recovery_ckpt_256_r_01,pair_math500_006,recovery,256,1,0,512
pair_pair_math500_006_recovery_ckpt_256_r_02,pair_math500_006,recovery,256,2,1,469
pair_pair_math500_006_recovery_ckpt_256_r_03,pair_math500_006,recovery,256,3,1,464
pair_pair_math500_006_recovery_ckpt_256_r_04,pair_math500_006,recovery,256,4,1,480
pair_pair_math500_006_recovery_ckpt_256_r_05,pair_math500_006,recovery,256,5,0,491
pair_pair_math500_006_recovery_ckpt_256_r_06,pair_math500_006,recovery,256,6,1,421
pair_pair_math500_006_recovery_ckpt_256_r_07,pair_math500_006,recovery,256,7,0,512
pair_pair_math500_006_recovery_ckpt_256_r_08,pair_math500_006,recovery,256,8,1,483
pair_pair_math500_006_recovery_ckpt_256_r_09,pair_math500_006,recovery,256,9,1,512
pair_pair_math500_006_recovery_ckpt_256_r_10,pair_math500_006,recovery,256,10,1,512
pair_pair_math500_006_recovery_ckpt_256_r_11,pair_math500_006,recovery,256,11,1,466
pair_pair_math500_006_recovery_ckpt_256_r_12,pair_math500_006,recovery,256,12,1,503
